Question,Answer
Q  1,A     
Q  2,C     
Q  3,B     
Q  4,C     
Q  5,B
Q  6,C     
Q  7,D     
Q  8,B     
Q  9,B     
Q 10,C
Q 11,A     
Q 12,C     
Q 13,A     
Q 14,C     
Q 15,C
Q 16,B     
Q 17,C     
Q 18,B     
Q 19,C     
Q 20,C
Q 21,B     
Q 22,C     
Q 23,B     
Q 24,B     
Q 25,C
Q 26,C     
Q 27,C     
Q 28,C     
Q 29,D     
Q 30,A
Q 31,C     
Q 32,C     
Q 33,B     
Q 34,C     
Q 35,B
Q 36,C     
Q 37,B     
Q 38,B     
Q 39,C     
Q 40,C
Q 41,B     
Q 42,C     
Q 43,C     
Q 44,B     
Q 45,C
Q 46,B     
Q 47,C     
Q 48,B     
Q 49,B     
Q 50,B
Q 51,B     
Q 52,C     
Q 53,B     
Q 54,C     
Q 55,B
Q 56,B     
Q 57,C     
Q 58,C     
Q 59,C     
Q 60,B
Q 61,B     
Q 62,C     
Q 63,B     
Q 64,C     
Q 65,D
Q 66,B     
Q 67,B     
Q 68,C     
Q 69,D     
Q 70,B
Q 71,C     
Q 72,C     
Q 73,C     
Q 74,B     
Q 75,B
Q 76,B     
Q 77,B     
Q 78,B     
Q 79,B     
Q 80,C
Q 81,B     
Q 82,B     
Q 83,B     
Q 84,C     
Q 85,B
Q 86,B     
Q 87,B     
Q 88,B     
Q 89,C     
Q 90,C
Q 91,C     
Q 92,C     
Q 93,B     
Q 94,B     
Q 95,C
Q 96,B     
Q 97,C     
Q 98,B     
Q 99,B     
Q100,C
