Question,Direct Search Response,Latency Direct,Direct_Letter
Q 1 What are the core principles of O-RAN?,"Sure, I'd be happy to help! Here's the answer to your first question:  Q 1: What are the core principles of O-RAN?  Answer: C) Cost reduction and scalability.  O-RAN (Open Radio Access Network) is designed to promote intelligence, openness, and cost reduction in radio access networks. By using open interfaces and software-defined technologies, O-RAN aims to reduce the costs and improve the scalability of mobile network infrastructure.",81.0838 ms,C
Q 2 Which of the following is NOT a key element of the O-RAN architecture?,"B) O-Cloud. The O-RAN architecture does not include a cloud component, as it is designed to work with existing network infrastructure.",68.5315 ms,B
Q 3 What does O-Cloud host?,"B) Near-RT RIC O-CU-CP O-CU-UP and O-DU.  Explanation: O-Cloud hosts near-RT RIC (Radio Interface Controller), O-CU-CP (Control Plane), O-CU-UP (User Plane), and O-DU (Distribution Unit).",66.9387 ms,B
Q 4 Which orchestration tool is typically used for container deployment in O-Cloud?,"[C] Kubernetes (K8s)  Explanation: Container deployment in O-Cloud typically uses Kubernetes (K8s) as the orchestration tool, as it provides a flexible and scalable platform for managing containerized applications.",65.7309 ms,C
Q 5 What is the latency range for the Near-RT RIC control loop?,[B] The latency range for the Near-RT RIC control loop is 10 milliseconds to 1 second.,67.5134 ms,B
Q 6 What is the latency range for the Non-RT RIC control loop?,[B] The latency range for the Non-RT RIC control loop is 10 milliseconds to 1 second.,67.2375 ms,B
Q 7 Which interface connects the Non-RT RIC to the Near-RT RIC?,C) C) O2 interface.  Explanation: The O2 interface connects the Non-RT RIC to the Near-RT RIC.,67.5158 ms,C
Q 8 Which interface connects the Near-RT RIC to E2 nodes?,C) C) O1 interface.  Explanation: The O1 interface connects the Near-RT RIC to E2 nodes.,67.9552 ms,C
Q 9 The O1 interface connects which components?,B) O-RAN Managed Elements and the SMO,66.3148 ms,B
Q 10 What does the O2 interface manage?,B) Communication between Non-RT RIC and Near-RT RIC.  Explanation: The O2 interface manages communication between Non-Real-Time (Non-RT) Radio Intelligent Controller (RIC) and Near-RT RIC.,69.5053 ms,B
Q 11 What functions does the Open Fronthaul interface comprise?,"B) Only Control and User planes.  Explanation: The Open Fronthaul interface comprises only the control and user planes, as stated in the question.",70.3285 ms,B
Q 12 Which Loop in O-RAN is responsible for per-TTI resource scheduling?,C) Loop 1 in the DU.  Explanation: Loop 1 in the DU (Distributed Unit) is responsible for per-TTI (transmission time interval) resource scheduling in O-RAN.,66.6238 ms,C
Q 13 What does FCAPS stand for in the context of the O1 interface?,B) Fronthaul; Cloud; Access; Performance; Synchronization,67.0082 ms,B
Q 14 What is the Y1 interface used for?,B) Connecting O-DU to O-RU. The Y1 interface is used for connecting O-DU (O-RAN Distributed Unit) to O-RU (O-RAN Radio Unit).,67.0100 ms,B
Q 15 The Non-RT RIC is part of which framework?,"[C] Service Management and Orchestration (SMO) framework.  Explanation: The Non-RT RIC is part of the Service Management and Orchestration (SMO) framework, which provides a set of APIs for managing and orchestrating services in a 5G network.",66.3748 ms,C
Q 16 How many OAM management architecture models does O-RAN define?,[C] There are three OAM management architecture models defined by O-RAN.,67.6564 ms,C
Q 17 In the Flat management model how do Managed Functions connect to the SMO?,"B) Via the A1 interface only.  Explanation: In the Flat management model, Managed Functions (MFs) connect to the Service Management Object (SMO) via the A1 interface, which is a dedicated interface for MF-to-SMO communication.",72.8378 ms,B
Q 18 In the Hierarchical management model who manages the O-RU?,"B) The O-DU via the Open Fronthaul M-Plane interface.  Explanation: The O-RU is managed by the O-DU through the Open Fronthaul M-Plane interface, which provides a standardized interface for managing the O-RU and other components in the radio access network.",70.0336 ms,B
Q 19 Which management model does the Open Fronthaul M-Plane NOT support for the O-RU?,"C) C) Flat model.  Explanation: The Open Fronthaul M-Plane does not support the Flat model for the O-RU, as it is designed to work with a hierarchical or hybrid model.",67.1426 ms,C
Q 20 In the Hybrid management model the O-RU is managed by:,"C) Both the O-DU via M-Plane and the SMO via direct interface.  Explanation: In the Hybrid management model, both the O-DU and SMO are involved in managing the O-RU, with the O-DU responsible for managing the O-RU via the M-Plane protocol, and the SMO responsible for managing the O-RU via a direct interface.",67.1506 ms,C
